date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-10-01T13:00:00Z,7,Nice,Brest,0,0,0,0,0,DRAW,DRAW,Romain Lissorgue
2023-10-01T15:05:00Z,7,Lorient,Montpellier,0,3,0,1,3,Montpellier,Lorient,Jeremy Stinat
2023-10-01T18:45:00Z,7,Stade Rennais,Nantes,3,1,1,1,2,Stade Rennais,Nantes,Ruddy Buquet
2023-10-06T19:00:00Z,8,Strasbourg,Nantes,1,2,0,0,1,Nantes,Strasbourg,Stéphanie Frappart
2023-10-07T15:00:00Z,8,FC Metz,Nice,0,1,0,1,1,Nice,FC Metz,Jérôme Brisard
2023-10-07T19:00:00Z,8,Stade de Reims,Monaco,1,3,0,1,2,Monaco,Stade de Reims,Hakim Ben El Hadj Salem
2023-10-08T11:00:00Z,8,Marseille,Le Havre,3,0,2,0,3,Marseille,Le Havre,Thomas Léonard
2023-10-08T13:00:00Z,8,Olympique Lyon,Lorient,3,3,3,1,0,DRAW,DRAW,Clément Turpin
2023-10-08T13:00:00Z,8,Brest,Toulouse,1,1,0,1,0,DRAW,DRAW,Pierre Gaillouste
2023-10-08T15:05:00Z,8,RC Lens,Lille,1,1,0,1,0,DRAW,DRAW,Benoît Millot
2023-10-08T19:00:00Z,8,Stade Rennais,PSG,1,3,0,2,2,PSG,Stade Rennais,Benoît Bastien
2023-10-20T19:00:00Z,9,Le Havre,RC Lens,0,0,0,0,0,DRAW,DRAW,François Letexier
2023-10-21T15:00:00Z,9,PSG,Strasbourg,3,0,2,0,3,PSG,Strasbourg,Bastien Dechepy
2023-10-21T19:00:00Z,9,Nice,Marseille,1,0,0,0,1,Nice,Marseille,Ruddy Buquet
2023-10-22T11:00:00Z,9,Lorient,Stade Rennais,2,1,2,1,1,Lorient,Stade Rennais,Gaël Angoula
2023-10-22T13:00:00Z,9,Nantes,Montpellier,2,0,1,0,2,Nantes,Montpellier,Marc Bollengier
2023-10-22T13:00:00Z,9,Toulouse,Stade de Reims,1,1,0,0,0,DRAW,DRAW,Jeremy Stinat
2023-10-22T13:00:00Z,9,Lille,Brest,1,0,1,0,1,Lille,Brest,Mathieu Vernice
2023-10-22T15:05:00Z,9,Monaco,FC Metz,2,1,1,1,1,Monaco,FC Metz,Romain Lissorgue
2023-10-22T18:45:00Z,9,Olympique Lyon,Clermont Foot,1,2,0,2,1,Clermont Foot,Olympique Lyon,Willy Delajod
2023-10-27T19:00:00Z,10,Clermont Foot,Nice,0,1,0,0,1,Nice,Clermont Foot,Jérémie Pignard
2023-10-28T15:00:00Z,10,Stade de Reims,Lorient,1,0,0,0,1,Stade de Reims,Lorient,Benoît Bastien
2023-10-28T19:00:00Z,10,RC Lens,Nantes,4,0,1,0,4,RC Lens,Nantes,Pierre Gaillouste
2023-10-29T12:00:00Z,10,Brest,PSG,2,3,1,2,1,PSG,Brest,Jérôme Brisard
2023-10-29T14:00:00Z,10,FC Metz,Le Havre,0,0,0,0,0,DRAW,DRAW,Hakim Ben El Hadj Salem
2023-10-29T14:00:00Z,10,Montpellier,Toulouse,3,0,1,0,3,Montpellier,Toulouse,Thomas Léonard
2023-10-29T14:00:00Z,10,Lille,Monaco,2,0,2,0,2,Lille,Monaco,Clément Turpin
2023-10-29T16:05:00Z,10,Stade Rennais,Strasbourg,1,1,1,0,0,DRAW,DRAW,Florent Batta
2023-11-03T20:00:00Z,11,PSG,Montpellier,3,0,1,0,3,PSG,Montpellier,Ruddy Buquet
2023-11-04T16:00:00Z,11,Lorient,RC Lens,0,0,0,0,0,DRAW,DRAW,Bastien Dechepy
2023-11-04T20:00:00Z,11,Marseille,Lille,0,0,0,0,0,DRAW,DRAW,Stéphanie Frappart
2023-11-05T12:00:00Z,11,Olympique Lyon,FC Metz,1,1,0,0,0,DRAW,DRAW,Benoît Millot
2023-11-05T14:00:00Z,11,Nantes,Stade de Reims,0,1,0,0,1,Stade de Reims,Nantes,Gaël Angoula
2023-11-05T14:00:00Z,11,Toulouse,Le Havre,1,2,0,0,1,Le Havre,Toulouse,Marc Bollengier
2023-11-05T14:00:00Z,11,Strasbourg,Clermont Foot,0,0,0,0,0,DRAW,DRAW,Jeremy Stinat
2023-11-05T16:05:00Z,11,Monaco,Brest,2,0,1,0,2,Monaco,Brest,Eric Wattellier
2023-11-05T19:45:00Z,11,Nice,Stade Rennais,2,0,1,0,2,Nice,Stade Rennais,Clément Turpin
2023-11-10T20:00:00Z,12,Montpellier,Nice,0,0,0,0,0,DRAW,DRAW,Hakim Ben El Hadj Salem
2023-11-11T16:00:00Z,12,Stade de Reims,PSG,0,3,0,1,3,PSG,Stade de Reims,Willy Delajod
2023-11-11T20:00:00Z,12,Le Havre,Monaco,0,0,0,0,0,DRAW,DRAW,Thomas Léonard
2023-11-12T14:00:00Z,12,Clermont Foot,Lorient,1,0,0,0,1,Clermont Foot,Lorient,Romain Lissorgue
2023-11-12T14:00:00Z,12,FC Metz,Nantes,3,1,2,1,2,FC Metz,Nantes,Florent Batta
2023-11-12T14:00:00Z,12,Lille,Toulouse,1,1,1,0,0,DRAW,DRAW,Mathieu Vernice
2023-11-12T16:05:00Z,12,Stade Rennais,Olympique Lyon,0,1,0,0,1,Olympique Lyon,Stade Rennais,Stéphanie Frappart
2023-11-12T19:45:00Z,12,RC Lens,Marseille,1,0,0,0,1,RC Lens,Marseille,Benoît Bastien
2023-11-24T20:00:00Z,13,PSG,Monaco,5,2,2,1,3,PSG,Monaco,Benoît Bastien
2023-11-25T16:00:00Z,13,Clermont Foot,RC Lens,0,3,0,1,3,RC Lens,Clermont Foot,Benoît Millot
2023-11-25T20:00:00Z,13,Strasbourg,Marseille,1,1,1,1,0,DRAW,DRAW,Jérôme Brisard
2023-11-26T12:00:00Z,13,Nice,Toulouse,1,0,0,0,1,Nice,Toulouse,François Letexier
2023-11-26T14:00:00Z,13,Lorient,FC Metz,2,3,2,1,1,FC Metz,Lorient,Jérémie Pignard
